AuthorCellType,mean,std,median,count,q1,q3,f_score
Stromal,0.9971647279375768,0.001666638058732548,0.9978942171444374,213,0.9971694400611986,0.9980805567135572,0.9904306220095692
Plasma Cell,0.9467631755871585,0.019621051225755724,0.9544939450759832,2539,0.9410893007248062,0.9605138409853506,0.8148646994000245
CD16 Mono,0.8173483198681786,0.1593104021419245,0.8669964198517539,4996,0.8372798205525812,0.8813554008837351,0.876253418413856
Small Pre-B,0.7791506629871515,0.15866261748868174,0.8328280854861226,1213,0.7741019021613869,0.8519386888439557,0.5495882563551736
Megakaryocyte,0.7392332644509567,0.23382147156183322,0.7834593660508364,54,0.7702310901921146,0.7892400186711355,0.9645669291338582
EoBasoMast Precursor,0.6951397921588481,0.21502566392363748,0.769347427393581,1930,0.6871333044253487,0.7902047766599161,0.8063416297306512
pDC,0.5609328068430129,0.27875027904293614,0.6742460042342893,4269,0.5629793209188222,0.7169570403177367,0.7877131435098311
Late ProMono,0.5849920898654246,0.23067779991714554,0.6653185926882442,2993,0.546252017683039,0.7305239139051489,0.3206422233697948
cDC1,0.5552379485853134,0.22505878050941316,0.6596303508894379,370,0.5373901498929688,0.6850722413076791,0.682261208576998
Pro-B VDJ,0.5816580914588042,0.2432315299536833,0.6595085707747824,4909,0.5614520652767491,0.7223779159011803,0.7565888667752246
Megakaryocyte Precursor,0.6091884331470027,0.1503258001237437,0.6492120554328769,2053,0.5764296413934162,0.6851391221312088,0.6914200632793598
CD8 Naive,0.574671633304932,0.18125135631065345,0.6436363329624271,8502,0.530844432929938,0.6864507197986998,0.5011184068114583
Immature B,0.5930376139037502,0.15778721641191817,0.6425159885546396,1751,0.5549735356456243,0.6872073314736984,0.5995990523054493
NK CD56high,0.5345687072209564,0.2218301533543356,0.6346645311645759,1935,0.4648829312620806,0.6779399913383197,0.4695494305991087
NK Proliferating,0.4121675271038027,0.38274676902536103,0.6293833788461836,215,0.3251072952081401,0.6488180276635469,0.6153846153846154
Orthochromatic Erythroblast,0.5228497515389743,0.22532872080247357,0.6143535655330303,3734,0.45893117231137043,0.6641149807678774,0.8400592983034096
CD4 Regulatory,0.49912929846871873,0.25330458610913936,0.5981610050248036,1538,0.44656933379291824,0.6517557336466585,0.1869918699186991
CD8 Tissue Resident Memory,0.48886601354181114,0.2625259712170358,0.5868501078312542,1478,0.41768843841224285,0.6689408689228353,0.573370959466393
MLP-II,0.47218781797174836,0.2661512549071673,0.5630151283513509,506,0.387399466473882,0.6672559755883827,0.5565167243367936
CD8 Effector Memory 1,0.47426960479959407,0.2328425240560887,0.5574955332937606,3360,0.39645433190316637,0.6365852331685125,0.4343345111896348
CLP,0.43959143635551584,0.27389369665091284,0.5431829673906026,1274,0.30387041617474897,0.6516403711657776,0.38574387297204
HSC,0.41496547285004454,0.26705170071581424,0.5331395610444711,12641,0.3181638063861095,0.6026591891425334,0.5854028847196616
Pro-B Cycling,0.44119344932618526,0.2298597125680887,0.5263603011043831,1118,0.3425592928165137,0.6192817817654803,0.4238845144356955
Mature B,0.3071260890033988,0.3794647901477086,0.5139371876833383,6730,0.13573440141395937,0.5742179266122742,0.7187331617074777
GMP-Neut,0.4367263226028524,0.19931658989072193,0.5137364290918175,3518,0.34735623491044254,0.5840485444159892,0.5660187330043307
MEP,0.40939767013787937,0.2690003094471519,0.5009382856942735,4856,0.3024969081730057,0.60680934282284,0.4088511137162954
Pre-pDC Cycling,0.41126054658435196,0.27355133407703647,0.5007862209180655,1880,0.34492138820257895,0.5962558691603148,0.6311438784629133
cDC2,0.35159432427429055,0.275532315011871,0.4451513286429538,3714,0.2588728193614803,0.5547057700584485,0.7009969734733844
CD14 Mono,0.33826236719085,0.2810775827511438,0.4351418350638975,23957,0.2245580766537161,0.5483418985446691,0.8252819302386573
CD4 Effector Memory,0.31057945251081615,0.3063534085110983,0.4342303983831935,7361,0.1886125055513798,0.5387454526232384,0.3766683143845774
Polychromatic Erythroblast,0.3545198380253635,0.2321089143163341,0.4261957033950951,5061,0.2603503167161193,0.5256168663893416,0.7135789142266001
CD8 Effector Memory 2,0.2937046171560193,0.31697703904107155,0.41833241019239553,8486,0.15006919125779067,0.5301099743318496,0.650439930926733
Large Pre-B,0.2597598727712719,0.33084088248684423,0.4097283850549091,3488,0.1817285939596966,0.487689533698372,0.6230886850152905
LMPP,0.301596968992739,0.29810717490285554,0.4095924117695766,6718,0.16809706956601317,0.5294340262215552,0.286386378911209
CFU-E,0.3163330106095124,0.2699619781026153,0.39387604018307915,7318,0.17714646674303325,0.5284923972335822,0.4588165974074303
Early ProMono,0.3316810364975704,0.24923177321863393,0.3936605971585132,5086,0.2264171226742665,0.5213456933167848,0.5532817383539217
MPP-MyLy,0.29603147494183396,0.2663768811118448,0.3758658343842561,5591,0.17216001921884,0.5032415362780072,0.2378084320963668
GMP-Cycle,0.19305652467210874,0.3444619170875808,0.3739317709606655,1993,-0.0713955084256967,0.4657022050604114,0.1932359324889047
Pro-Erythroblast,0.2822968969833369,0.24868401860363895,0.36812008282460273,7390,0.14279834659667345,0.47428309964495885,0.516640215457125
CD4 Naive,0.24042518265517782,0.3057302882769244,0.3456751620130148,24063,0.08286816147154775,0.4809925949231491,0.4316302158151079
T Proliferating,0.12155205503571613,0.39665165412258496,0.3448801570291513,580,-0.2607778109163839,0.4733886795598704,0.4234972677595628
NK,0.2373284932337611,0.24473585794130462,0.3024757707282094,5771,0.1110702125894926,0.4255431918805553,0.7570646463529281
MPP-MkEry,0.1690576389822381,0.27086408144075885,0.2486149512821604,5771,-0.00036368946808485,0.39252208357078255,0.2351291512915129
Pre-cDC,0.12017895387463708,0.27862715069757465,0.2073961336632732,3704,-0.0617402021721571,0.3443571035401981,0.5739849309334449
MLP,0.10353585717732627,0.2947265513982859,0.1962997506917881,1242,-0.05670708677719957,0.32338918640831477,0.2733118971061093
Pre-ProB,0.08405820989009313,0.3357165628865839,0.1550194883943536,787,-0.17218134376308736,0.39058631756248796,0.3715541350379545
Cycling Progenitor,0.024673054583375917,0.3452184572054004,0.14616826106112973,9366,-0.20388343094353295,0.306549537003446,0.4192600779477634
GMP-Mono,0.06307512008566941,0.29650060055770777,0.1416118396387366,4557,-0.177002088162734,0.3158634591956967,0.3338481253902014
Basophilic Erythroblast,0.059423202859905745,0.225015408857077,0.1100767453418099,5253,-0.090208029895317,0.2389966010526278,0.47400786830144
BFU-E,0.019583221280740963,0.3055678970041648,0.07548957589179969,6554,-0.19852168463095987,0.27066213133079164,0.3409462044510801
CD4 Central Memory,-0.0033845916566924805,0.30186075017973996,0.03473700477367925,12152,-0.2536308889948475,0.2695078053745361,0.2995646861157782
Early GMP,-0.09041099426083496,0.38234663303126293,-0.00682223112947875,11432,-0.435506157404872,0.25831483721476795,0.4835519184912205
