clusterName,NSForest_markers,f_score,onTarget,precision,recall
CD4 Effector Memory,"['RORA', 'IL7R', 'KLRB1']",0.3766683143845774,0.2050922811031341,0.3978419770274974,0.3105556310283929
CD4 Naive,"['CD7', 'NOSIP']",0.4316302158151079,0.1070530265569686,0.4340912976577192,0.4220587624153264
CD8 Naive,"['CD8B', 'CD27', 'CD7']",0.5011184068114583,0.2456124275922775,0.5782681099084097,0.3267466478475653
Cycling Progenitor,"['ENSG00000237819', 'PHGDH', 'MDK', 'CSF3R']",0.4192600779477634,0.1542421728372573,0.4609849696194436,0.3078155028827674
Early GMP,"['ENSG00000237819', 'MYC', 'MPO']",0.4835519184912205,0.167972058057785,0.5604585427135679,0.3121938418474457
LMPP,"['CD34', 'CSF3R', 'SMIM24', 'FAM30A']",0.286386378911209,0.1465311646461486,0.3058213716108452,0.2283417683834474
HSC,"['CRHBP', 'CLU']",0.5854028847196616,0.2565157115459442,0.645230695672962,0.4270231785460011
MPP-MyLy,"['CRHBP', 'CSF3R', 'FAM30A']",0.2378084320963668,0.1387742608785629,0.2430500397140587,0.2189232695403326
MPP-MkEry,"['ZBTB20', 'CRHBP', 'CYTL1']",0.2351291512915129,0.2714782655239105,0.226729291204099,0.276035349159591
MEP,"['CPPED1', 'MALRD1-AS1']",0.4088511137162954,0.738395631313324,0.4572271386430678,0.2872734761120263
NK Proliferating,"['KLRF1', 'GNLY', 'MKI67']",0.6153846153846154,0.254439115524292,0.704,0.4093023255813953
NK,"['SPON2', 'FGFBP2', 'KLRF1']",0.7570646463529281,0.4184431135654449,0.889538661468486,0.4744411713741119
NK CD56high,"['KLRC1', 'XCL2', 'KLRF1']",0.4695494305991087,0.5955581665039062,0.5518913676042677,0.2940568475452196
CD8 Tissue Resident Memory,"['GZMK', 'KLRB1', 'IL7R']",0.573370959466393,0.2637090981006622,0.7388429752066116,0.3024357239512855
CD8 Central Memory,"['CD8B', 'IL7R', 'CCL5']",0.3034851369160931,0.1562162637710571,0.2960714285714286,0.3372660699755899
CD8 Effector Memory 1,"['CD8A', 'GZMK', 'CCL4']",0.4343345111896348,0.3162957727909088,0.5184534270650264,0.2633928571428571
CD8 Effector Memory 2,"['GZMH', 'CD3G']",0.650439930926733,0.2598021924495697,0.7991917150795655,0.3728493990101343
T Proliferating,"['MT1E', 'CXCR3', 'GZMK', 'CD3D']",0.4234972677595628,0.6136138439178467,0.5610859728506787,0.2137931034482758
CD4 Regulatory,"['CD27', 'CD2', 'ITGB1', 'ISG20']",0.1869918699186991,0.1741227358579635,0.2565055762081784,0.0897269180754226
CD4 Central Memory,"['IL7R', 'TNFAIP3', 'CRIP1']",0.2995646861157782,0.157517522573471,0.3120525059665871,0.2582290980908492
Megakaryocyte Precursor,"['CMTM5', 'SELP']",0.6914200632793598,0.2464167922735214,0.8951807228915662,0.3619094008767657
Megakaryocyte,['ACRBP'],0.9645669291338582,1.0,0.98,0.9074074074074074
Stromal,['CXCL12'],0.9904306220095692,1.0,0.9951923076923076,0.971830985915493
Small Pre-B,"['IRF4', 'BCL7A']",0.5495882563551736,0.7260171175003052,0.7772151898734178,0.2530915086562242
Large Pre-B,"['TCL1A', 'CD24', 'PDLIM1']",0.6230886850152905,0.2907619774341583,0.8052223006351447,0.3271215596330275
Pro-B Cycling,"['AKAP12', 'UHRF1']",0.4238845144356955,0.3326905965805053,0.4799405646359584,0.2889087656529517
Pre-ProB,"['AGPS', 'CYGB', 'BLNK']",0.3715541350379545,0.6297698616981506,0.4335664335664335,0.2363405336721728
Pro-B VDJ,"['ARPP21', 'AKAP12']",0.7565888667752246,0.8325584530830383,0.8598355037697053,0.5111020574455083
CLP,"['JCHAIN', 'DNTT', 'VPREB1']",0.38574387297204,0.10565847158432,0.395575221238938,0.3508634222919937
MLP,"['DNTT', 'FAM30A']",0.2733118971061093,0.1363333463668823,0.3640256959314775,0.1368760064412238
cDC2,"['CLEC10A', 'CD1C']",0.7009969734733844,1.0,0.8377659574468085,0.4240710823909531
Pre-cDC,"['IGSF6', 'FCER1A', 'MKI67']",0.5739849309334449,0.133189171552658,0.7498291182501708,0.2961663066954643
Early ProMono,"['S100A8', 'AZU1', 'ELANE', 'S100A9']",0.5532817383539217,0.1884943842887878,0.7121647509578544,0.2923712151002752
Late ProMono,"['RETN', 'S100A12', 'S100A8', 'S100A9']",0.3206422233697948,0.3989857137203216,0.2984487655669652,0.4563982626127631
CD14 Mono,"['S100A12', 'SERPINA1']",0.8252819302386573,0.4566731750965118,0.8818518103351642,0.6567600283841883
CFU-E,"['CSF1', 'APOC1']",0.4588165974074303,0.2817651629447937,0.4748074454428755,0.404345449576387
BFU-E,"['PKIG', 'CNRIP1', 'IL1B']",0.3409462044510801,0.1963625848293304,0.3219872218550341,0.4459871833994507
EoBasoMast Precursor,['CLC'],0.8063416297306512,1.0,0.9613821138211384,0.4901554404145077
GMP-Cycle,"['ELANE', 'MS4A3', 'MPO']",0.1932359324889047,0.2092455774545669,0.1652583460313062,0.5985950827897641
GMP-Neut,"['ELANE', 'AZU1']",0.5660187330043307,0.3555478155612945,0.5503059975520196,0.6389994314951677
GMP-Mono,"['PRTN3', 'MS4A3', 'MPO']",0.3338481253902014,0.2152464389801025,0.3141134642139434,0.4459073952161509
Orthochromatic Erythroblast,"['IFIT1B', 'ALAS2']",0.8400592983034096,0.705778181552887,0.9705042816365368,0.5463310123192288
Polychromatic Erythroblast,"['HBM', 'GYPA', 'HEMGN']",0.7135789142266001,0.3988144993782043,0.7391101793617517,0.6269511954159257
Basophilic Erythroblast,"['FAM178B', 'HBM', 'ALAS2', 'GYPA']",0.47400786830144,0.2100140154361724,0.4743883792048929,0.4724919093851132
Pro-Erythroblast,"['FAM178B', 'EPCAM', 'KCNH2', 'APOC1']",0.516640215457125,0.3847598731517792,0.5026318867703825,0.5814614343707714
MLP-II,['ACY3'],0.5565167243367936,1.0,0.6286644951140065,0.3814229249011858
Pre-pDC,"['TASL', 'RUNX2', 'SPNS3', 'BLNK', 'IRF8']",0.3451054115751309,0.2477391064167022,0.3902809415337889,0.2358880220284534
