clusterName,NSForest_markers,f_score,onTarget,precision,recall
alpha_immature,"['ANXA10', 'PLAUR']",0.5192338135190755,1.0,0.6023875114784206,0.3345232024477307
alpha_stress II,"['ABCB1', 'PDK4']",0.5228127712935275,0.4994233250617981,0.6518340348767288,0.2917900403768506
beta_stress I,['ASB9'],0.5982905982905983,1.0,0.6508108108108108,0.4522915101427498
beta_stress II,['TRIB3'],0.6942590120160214,1.0,0.7309236947791165,0.5782366957903098
beta_immature,"['NDRG4', 'ENDOD1', 'ADM']",0.3375430539609644,1.0,0.4447806354009077,0.1718293395675043
beta_MHC/autoantigen,['C1GALT1C1'],0.4369538077403246,1.0,0.6194690265486725,0.2005730659025787
beta_mature,"['CDKN1C', 'IGF2']",0.7402348600418632,0.8121052384376526,0.787804417594865,0.5962280325760823
beta_mtDNA deficient,"['GPX2', 'FAM162A']",0.2051671732522796,0.3540824651718139,0.28125,0.0985401459854014
delta,"['LY6H', 'CD9']",0.807109252483011,1.0,0.9251048532055124,0.5344409830391139
PP,"['PPY', 'TUBB2A']",0.7610993657505285,0.7948207855224609,0.8181818181818182,0.5950413223140496
alpha_MHC II,"['P4HA2', 'FXYD3']",0.4022988505747126,0.4850694835186004,0.875,0.1272727272727272
alpha_mature,"['ENSG00000186493', 'KCTD12']",0.6769077354100385,1.0,0.7451646628332462,0.4953953084274544
