full_clustering,mean,std,median,count,q1,q3,f_score
Melanocyte,0.7954848493997828,0.053962864297880324,0.8073215650000001,3682,0.7691070725,0.8345918999999999,0.9356029044161408
LE2,0.6690158265094002,0.16775203227591157,0.73302627,3851,0.646319535,0.762263625,0.8657489753306009
VE3,0.6777840743449921,0.192063877331687,0.73195106,629,0.67025393,0.75890213,0.5248868778280543
Mast_cell,0.5916696340933573,0.24655292497311268,0.68110365,557,0.59782165,0.71387887,0.7138994050838291
Plasma,0.33107682499999996,0.5469637848812482,0.63689774,71,0.40758005,0.6476886500000001,0.6544502617801047
Undifferentiated_KC,0.5533484013658282,0.1345306410007483,0.5950174699999999,21348,0.4862082075,0.6548391825,0.874110215433932
Treg,0.4506214206210134,0.29506685018400847,0.5811521,5743,0.41333746000000005,0.63329663,0.8045720657931419
Pericyte_1,0.509512538185186,0.19785168150340024,0.5738196,4705,0.4586304,0.63542414,0.7654893255859503
LE1,0.46199156246710155,0.25360816177353995,0.54826087,1073,0.4353291,0.60844344,0.7705903145987981
LC,0.43206442552922536,0.2673301106095851,0.537291,568,0.37418699,0.59523255,0.406441717791411
Differentiated_KC,0.3933549689145285,0.27374246828467635,0.50038977,32496,0.31937279,0.58286118,0.922171084192852
Schwann_2,0.39861721784166665,0.26343818571395394,0.49894166,120,0.36845603,0.570441875,0.2884615384615384
Schwann_1,0.3010479223899329,0.3396093984824893,0.44881067,149,0.2541605,0.525586,0.4618473895582329
DC1,0.27243568877483443,0.32882585395767366,0.41617009,604,0.22398236500000002,0.49267230749999996,0.3205128205128205
Pericyte_2,0.2618803277641196,0.30045776108171185,0.38871497,301,0.07840015,0.49485934,0.5521936459909228
Macro_1,0.21677870470061583,0.34926912120599723,0.3854332,5781,0.0832449,0.46651924,0.7534485334395697
Mono_mac,0.30450785929876834,0.23670581407245164,0.38418084500000005,4912,0.2122383825,0.4791946925,0.7437227074235808
F2,0.14996936658686855,0.4161922561300343,0.3760273,4260,-0.1922798225,0.475057795,0.6889612878497509
MigDC,0.22860092099692308,0.2819902076514723,0.36524923,2080,0.0923792675,0.4337873025,0.3422934322033898
ILC2,0.2563219811981781,0.23200141120621476,0.32786457999999996,494,0.1909087525,0.40558951249999997,0.3957996768982229
ILC1_3,0.1614344821490869,0.2797080558380436,0.28133687,2935,0.025177869999999998,0.37951355,0.5648814281907807
F3,0.1728768279696771,0.1949207746801034,0.22699897,3035,0.051507787,0.326909765,0.6849479104298887
DC2,0.1517200556436464,0.24240141878634172,0.215169155,724,0.002635998425,0.34766372749999996,0.5170454545454546
VE1,0.09422795990313208,0.15057135240955727,0.14124179,9645,0.021397717,0.19863114,0.6119679210363973
NK,0.08577611808874154,0.11587999684857245,0.10895884,739,0.0150877435,0.179152695,0.7466168922071862
migLC,-0.007828396164259831,0.35928614061297404,0.061299905,11977,-0.31593588,0.31620878,0.8669575748255512
F1,0.0029180211614941677,0.2369514561036477,0.05225035,10161,-0.19279064,0.22435106,0.7609645059686085
Macro_2,-0.05011957563681882,0.28238189460058866,-0.00660553855,1424,-0.2617697125,0.2128985925,0.4895510835913312
ILC1_NK,-0.03356280693018049,0.13061323066483155,-0.0563108775,2604,-0.137056695,0.0935923555,0.6944444444444444
VE2,-0.06639507873914023,0.14080419005402792,-0.07061742,15511,-0.173344145,0.0633383225,0.7645478961504029
Inf_mac,-0.14108846496884375,0.19724022606382174,-0.12076982,1773,-0.27226737,0.008840614,0.3069502302126726
moDC,-0.17962936978048152,0.21923839471237244,-0.201499755,12490,-0.369999615,0.006494640675,0.8038362665612023
Th,-0.2600690693351327,0.1637938738783743,-0.23903756,20617,-0.36944056,-0.13670385,0.7309697901254076
Tc,-0.340040113007818,0.15698438438650222,-0.34679982499999995,8680,-0.4440130475,-0.2183347725,0.6722853087295955
